,post_id,likes_count,reposts_count,comments_count,time
157,428863.0,548.0,16.0,27.0,1480746906.0
158,428789.0,635.0,14.0,22.0,1480741717.0
159,428777.0,198.0,11.0,21.0,1480741103.0
160,428759.0,702.0,12.0,27.0,1480740120.0
161,428710.0,457.0,3.0,33.0,1480736502.0
162,428706.0,565.0,6.0,20.0,1480736373.0
163,428705.0,452.0,3.0,13.0,1480736369.0
164,428704.0,494.0,13.0,10.0,1480736360.0
165,428682.0,346.0,4.0,40.0,1480732713.0
166,428598.0,230.0,0.0,30.0,1480710583.0
167,428536.0,257.0,5.0,22.0,1480708657.0
168,428515.0,111.0,0.0,32.0,1480708248.0
169,428474.0,330.0,2.0,23.0,1480706381.0
170,428451.0,548.0,5.0,16.0,1480705553.0
171,428361.0,361.0,8.0,30.0,1480704070.0
172,428360.0,169.0,1.0,42.0,1480704058.0
173,428359.0,427.0,4.0,21.0,1480704054.0
174,428358.0,284.0,9.0,14.0,1480704046.0
175,428298.0,272.0,1.0,51.0,1480700891.0
176,428262.0,547.0,7.0,30.0,1480698274.0
177,428202.0,132.0,5.0,34.0,1480693324.0
178,428125.0,138.0,6.0,57.0,1480687514.0
179,428107.0,62.0,0.0,29.0,1480687330.0
180,428033.0,37.0,0.0,73.0,1480684164.0
181,427994.0,991.0,29.0,49.0,1480682377.0
182,427854.0,834.0,10.0,63.0,1480652329.0
183,427849.0,768.0,38.0,32.0,1480652112.0
184,427732.0,457.0,10.0,56.0,1480623116.0
185,427652.0,412.0,9.0,41.0,1480616577.0
186,427566.0,842.0,19.0,49.0,1480608477.0
187,427546.0,741.0,50.0,23.0,1480608245.0
188,427539.0,353.0,6.0,24.0,1480608207.0
189,427500.0,166.0,1.0,56.0,1480605775.0
190,427402.0,587.0,9.0,51.0,1480597509.0
191,427394.0,370.0,3.0,26.0,1480597256.0
192,427291.0,345.0,7.0,32.0,1480584532.0
193,427276.0,75.0,1.0,31.0,1480584076.0
194,427168.0,1097.0,48.0,32.0,1480576578.0
195,427163.0,1059.0,13.0,53.0,1480576537.0
196,427148.0,341.0,4.0,21.0,1480575984.0
197,427132.0,390.0,6.0,26.0,1480575636.0
198,427086.0,678.0,10.0,24.0,1480573077.0
199,427068.0,677.0,18.0,16.0,1480572672.0
200,427038.0,500.0,2.0,29.0,1480572039.0
